Iterations,Adagrad,AdagradG
0,-1094.4793981,-1094.4793981
1,-1098.7970928,-23601.9305914
2,-1088.45416622,-2510.92241078
3,-1084.9473609,-14441.2124727
4,-1082.64327134,-1577.59369511
5,-1080.62170095,-5654.14654958
6,-1078.76261444,-7379.05097064
7,-1077.03605659,-5305.08490785
8,-1075.42269168,-4629.60057245
9,-1073.90798039,-5185.5806177
10,-1072.48031218,-3143.24343619
11,-1071.13022113,-4335.25318087
12,-1069.84984105,-2953.48878696
13,-1068.63253761,-3524.61807897
14,-1067.47264516,-2860.89967635
15,-1066.36527392,-2973.19904463
16,-1065.30616532,-2653.70653075
17,-1064.2915811,-2586.58038002
18,-1063.31821698,-2433.60532634
19,-1062.38313425,-2309.96727725
20,-1061.48370504,-2240.28748058
21,-1060.61756782,-2106.09664174
22,-1059.78259096,-2081.55766539
23,-1058.97684259,-1952.98774253
24,-1058.1985654,-1954.26988462
25,-1057.44615548,-1836.25563726
26,-1056.71814437,-1852.98845394
27,-1056.01318375,-1745.87067904
28,-1055.33003237,-1772.3017144
29,-1054.66754465,-1674.67493586
30,-1054.02466092,-1707.50487602
31,-1053.40039889,-1617.5239397
32,-1052.7938461,-1654.77010049
33,-1052.20415343,-1570.70848239
34,-1051.63052925,-1611.10482755
35,-1051.0722343,-1531.54901912
36,-1050.52857715,-1574.23022674
37,-1049.99891012,-1498.10968279
38,-1049.48262568,-1542.44430692
39,-1048.97915316,-1468.99447111
40,-1048.48795584,-1514.49576466
41,-1048.00852834,-1443.19926702
42,-1047.54039421,-1489.47640677
43,-1047.08310377,-1420.00273393
44,-1046.63623219,-1466.733202
45,-1046.19937768,-1398.88558244
46,-1045.77215991,-1445.79878954
47,-1045.35421847,-1379.47135117
48,-1044.94521157,-1426.33835826
49,-1044.54481479,-1361.48368293
50,-1044.15271994,-1408.11030732
51,-1043.76863398,-1344.71607986
52,-1043.39227814,-1390.93792343
53,-1043.02338695,-1329.01085577
54,-1042.66170748,-1374.68945452
55,-1042.30699855,-1314.24467414
56,-1041.95903005,-1359.26432886
57,-1041.61758225,-1300.31868153
58,-1041.28244528,-1344.58373043
59,-1040.95341848,-1287.15178417
60,-1040.63030994,-1330.58419009
61,-1040.31293599,-1274.67604588
62,-1040.00112076,-1317.21323142
63,-1039.69469573,-1262.8335074
64,-1039.39349939,-1304.42640306
65,-1039.09737683,-1251.57395734
66,-1038.8061794,-1292.18524274
67,-1038.5197644,-1240.85334246
68,-1038.23799477,-1280.45586713
69,-1037.96073883,-1230.63261119
70,-1037.68786998,-1269.2079835
71,-1037.41926644,-1220.87685404
72,-1037.15481108,-1258.41418701
73,-1036.89439115,-1211.55465058
74,-1036.63789805,-1248.04945284
75,-1036.38522719,-1202.63756243
76,-1036.13627777,-1238.09076228
77,-1035.89095263,-1194.09973146
78,-1035.64915804,-1228.51682185
79,-1035.4108036,-1185.91755517
80,-1035.17580204,-1219.30784769
81,-1034.94406914,-1178.06941993
82,-1034.71552354,-1210.44539615
83,-1034.49008664,-1170.53547833
84,-1034.26768249,-1201.91222769
85,-1034.04823767,-1163.29746082
86,-1033.83168118,-1193.69219507
87,-1033.61794434,-1156.3385146
88,-1033.40696071,-1185.77014941
89,-1033.19866596,-1149.64306427
90,-1032.99299782,-1178.13185986
91,-1032.789896,-1143.19669047
92,-1032.58930208,-1170.76394359
93,-1032.39115945,-1136.9860232
94,-1032.19541326,-1163.65380402
95,-1032.00201033,-1130.99864767
96,-1031.81089907,-1156.78957548
97,-1031.62202945,-1125.22302051
98,-1031.43535296,-1150.16007325
99,-1031.25082246,-1119.64839513
100,-1031.06839225,-1143.754748
101,-1030.88801793,-1114.26475471
102,-1030.70965638,-1137.56364409
103,-1030.53326573,-1109.06275198
104,-1030.35880527,-1131.57736101
105,-1030.18623548,-1104.03365489
106,-1030.0155179,-1125.78701787
107,-1029.84661516,-1099.16929745
108,-1029.67949093,-1120.18422028
109,-1029.51410985,-1094.46203513
110,-1029.35043754,-1114.76102969
111,-1029.18844053,-1089.90470438
112,-1029.02808625,-1109.50993473
113,-1028.86934299,-1085.4905857
114,-1028.71217991,-1104.42382449
115,-1028.55656692,-1081.21337002
116,-1028.40247476,-1099.49596369
117,-1028.2498749,-1077.06712796
118,-1028.09873955,-1094.71996928
119,-1027.94904162,-1073.04628168
120,-1027.80075473,-1090.08978881
121,-1027.65385313,-1069.14557918
122,-1027.50831173,-1085.59968002
123,-1027.36410605,-1065.36007062
124,-1027.22121223,-1081.24419188
125,-1027.07960698,-1061.68508671
126,-1026.93926757,-1077.01814684
127,-1026.80017185,-1058.11621875
