Iterations,Adagrad,AdagradG
0,-868.513417242,-868.513417242
1,-862.881756129,-705.581995243
2,-858.995166301,-553.754008713
3,-855.874482035,-469.504420688
4,-853.20816264,-420.826314494
5,-850.850849104,-394.739632223
6,-848.720990029,-375.924329042
7,-846.767467065,-361.007803906
8,-844.95575661,-348.682554467
9,-843.261254231,-338.301400917
10,-841.665696603,-329.429556137
11,-840.155088129,-321.758415043
12,-838.718424838,-315.059600547
13,-837.346870307,-309.160207182
14,-836.033202179,-303.926592971
15,-834.771428056,-299.253670253
16,-833.556511451,-295.057558148
17,-832.384171555,-291.270422618
18,-831.250733902,-287.836771151
19,-830.153016948,-284.710740487
20,-829.088244548,-281.854077081
21,-828.053977457,-279.234610326
22,-827.048059017,-276.825082472
23,-826.068571606,-274.602240796
24,-825.113801349,-272.546125362
25,-824.182209246,-270.639504526
26,-823.272407354,-268.867423369
27,-822.383138969,-267.216839377
28,-821.513262026,-265.676326198
29,-820.661735093,-264.235831
30,-819.827605489,-262.886474386
31,-819.009999125,-261.620384376
32,-818.208111804,-260.43055784
33,-817.421201692,-259.310744214
34,-816.648582815,-258.255347417
35,-815.88961938,-257.259342721
36,-815.143720822,-256.318205967
37,-814.410337451,-255.427853052
38,-813.688956625,-254.584587966
39,-812.979099359,-253.785058027
40,-812.280317331,-253.026215144
41,-811.592190211,-252.305282214
42,-810.914323278,-251.619723853
43,-810.246345302,-250.967220833
44,-809.587906626,-250.345647687
45,-808.938677462,-249.753053035
46,-808.298346341,-249.187642251
47,-807.666618721,-248.647762153
48,-807.04321573,-248.131887447
49,-806.427873016,-247.638608698
50,-805.820339716,-247.166621627
51,-805.220377503,-246.714717564
52,-804.627759733,-246.281774929
53,-804.04227065,-245.866751593
54,-803.463704672,-245.468678032
55,-802.891865724,-245.086651176
56,-802.32656664,-244.719828863
57,-801.767628599,-244.367424843
58,-801.214880615,-244.028704264
59,-800.668159064,-243.702979581
60,-800.127307244,-243.389606852
61,-799.592174977,-243.087982375
62,-799.062618227,-242.79753963
63,-798.53849876,-242.517746491
64,-798.019683818,-242.24810269
65,-797.506045819,-241.988137497
66,-796.997462083,-241.737407597
67,-796.493814567,-241.495495153
68,-795.994989627,-241.262006023
69,-795.500877791,-241.036568131
70,-795.011373545,-240.818829963
71,-794.526375141,-240.608459187
72,-794.045784406,-240.405141385
73,-793.569506572,-240.208578878
74,-793.097450115,-240.018489645
75,-792.629526595,-239.834606325
76,-792.165650522,-239.65667529
77,-791.705739212,-239.484455794
78,-791.249712666,-239.317719174
79,-790.797493446,-239.156248122
80,-790.349006565,-238.999835997
81,-789.904179379,-238.848286193
82,-789.462941484,-238.701411548
83,-789.025224625,-238.559033797
84,-788.590962602,-238.420983059
85,-788.160091188,-238.287097362
86,-787.732548046,-238.157222194
87,-787.308272651,-238.031210095
88,-786.887206223,-237.908920262
89,-786.469291651,-237.790218189
90,-786.054473433,-237.674975327
91,-785.642697611,-237.563068768
92,-785.233911713,-237.454380942
93,-784.828064696,-237.348799342
94,-784.425106894,-237.246216261
95,-784.024989963,-237.146528544
96,-783.62766684,-237.049637357
97,-783.233091687,-236.95544797
98,-782.841219856,-236.863869555
99,-782.452007841,-236.774814986
100,-782.065413238,-236.688200664
101,-781.681394711,-236.603946347
102,-781.299911951,-236.52197498
103,-780.920925641,-236.442212553
104,-780.544397427,-236.364587952
105,-780.170289878,-236.289032823
106,-779.798566463,-236.215481446
107,-779.429191518,-236.143870613
108,-779.062130216,-236.074139512
109,-778.697348545,-236.006229622
110,-778.334813275,-235.940084605
111,-777.974491942,-235.875650213
112,-777.616352814,-235.812874195
113,-777.260364877,-235.751706209
114,-776.906497809,-235.692097736
115,-776.554721957,-235.634002006
116,-776.20500832,-235.577373923
117,-775.857328528,-235.52216999
118,-775.511654824,-235.468348243
119,-775.167960043,-235.415868191
120,-774.826217601,-235.364690748
121,-774.48640147,-235.31477818
122,-774.148486169,-235.266094049
123,-773.812446742,-235.218603159
124,-773.478258749,-235.172271506
125,-773.145898249,-235.127066232
126,-772.815341786,-235.082955576
127,-772.486566373,-235.039908836
128,-772.159549485,-234.997896322
129,-771.834269041,-234.956889319
130,-771.510703396,-234.91686005
131,-771.188831326,-234.87778164
132,-770.868632018,-234.83962808
133,-770.550085059,-234.802374192
134,-770.233170428,-234.765995606
135,-769.917868481,-234.730468721
136,-769.604159946,-234.695770679
137,-769.292025908,-234.66187934
138,-768.981447808,-234.628773254
139,-768.672407425,-234.596431635
140,-768.364886873,-234.564834338
141,-768.058868592,-234.533961834
142,-767.754335338,-234.503795191
143,-767.451270178,-234.474316052
144,-767.149656479,-234.445506612
145,-766.849477903,-234.4173496
146,-766.550718401,-234.389828262
147,-766.253362203,-234.362926342
