Iterations,Adagrad,AdagradG
0,-131.004817126,-131.004817126
1,-130.174156691,-147.506131252
2,-129.608770092,-112.635694053
3,-129.159092725,-108.124380534
4,-128.777957609,-104.949637795
5,-128.44338705,-103.524714249
6,-128.143063153,-102.663386851
7,-127.869270675,-102.170116926
8,-127.616802192,-101.848956586
9,-127.381948338,-101.630221238
10,-127.161956913,-101.470997981
11,-126.954719611,-101.350004125
12,-126.758579298,-101.254779601
13,-126.5722056,-101.177888844
14,-126.39451137,-101.114593653
15,-126.22459474,-101.061694955
16,-126.061697784,-101.016949478
17,-125.905176321,-100.978716244
18,-125.754477407,-100.945765383
19,-125.60912224,-100.917151499
20,-125.468692971,-100.892136043
21,-125.332822387,-100.870133031
22,-125.201185734,-100.850672228
23,-125.07349416,-100.833372324
24,-124.949489408,-100.817921483
25,-124.828939471,-100.804062693
26,-124.711635014,-100.791582677
27,-124.597386397,-100.780303318
28,-124.48602118,-100.770074981
29,-124.377382022,-100.760771253
30,-124.271324903,-100.752284755
31,-124.167717595,-100.744523806
32,-124.066438364,-100.73740972
33,-123.967374839,-100.730874635
34,-123.870423045,-100.724859737
35,-123.775486544,-100.71931381
36,-123.682475706,-100.714192051
37,-123.591307048,-100.709455092
38,-123.501902669,-100.705068188
39,-123.414189741,-100.701000552
40,-123.328100062,-100.697224792
41,-123.243569656,-100.693716443
42,-123.160538419,-100.690453581
43,-123.0789498,-100.687416491
44,-122.998750515,-100.684587383
45,-122.919890292,-100.681950165
46,-122.84232164,-100.679490234
47,-122.765999638,-100.677194306
48,-122.690881749,-100.67505027
49,-122.616927645,-100.673047057
50,-122.544099054,-100.671174533
51,-122.472359617,-100.669423399
52,-122.401674755,-100.667785112
53,-122.332011556,-100.666251807
54,-122.263338662,-100.664816235
55,-122.195626172,-100.663471707
56,-122.128845548,-100.662212039
57,-122.062969531,-100.661031512
58,-121.997972066,-100.65992483
59,-121.933828226,-100.658887082
60,-121.870514149,-100.657913715
61,-121.808006975,-100.6570005
62,-121.746284789,-100.656143507
63,-121.685326569,-100.655339083
64,-121.625112136,-100.65458383
65,-121.56562211,-100.653874584
66,-121.506837864,-100.653208397
67,-121.448741488,-100.652582524
68,-121.391315749,-100.651994405
69,-121.334544059,-100.651441652
70,-121.278410443,-100.650922038
71,-121.222899502,-100.650433481
72,-121.167996396,-100.649974041
73,-121.113686807,-100.649541903
74,-121.05995692,-100.649135372
75,-121.006793395,-100.648752864
76,-120.954183351,-100.648392896
77,-120.90211434,-100.648054083
78,-120.850574328,-100.64773513
79,-120.79955168,-100.647434822
80,-120.749035138,-100.647152024
81,-120.699013809,-100.646885673
82,-120.649477144,-100.646634773
83,-120.600414929,-100.646398392
84,-120.551817268,-100.646175656
85,-120.50367457,-100.645965745
86,-120.455977537,-100.645767893
87,-120.408717152,-100.645581379
88,-120.361884668,-100.645405529
89,-120.315471597,-100.64523971
90,-120.269469701,-100.645083327
91,-120.223870978,-100.644935825
92,-120.178667661,-100.644796678
93,-120.133852201,-100.644665398
94,-120.089417263,-100.644541523
95,-120.045355719,-100.644424619
96,-120.001660636,-100.644314282
97,-119.958325275,-100.644210129
98,-119.915343076,-100.6441118
99,-119.872707662,-100.64401896
100,-119.830412822,-100.643931291
101,-119.788452512,-100.643848496
102,-119.746820848,-100.643770294
103,-119.705512099,-100.643696422
104,-119.664520682,-100.643626633
105,-119.623841159,-100.643560693
106,-119.58346823,-100.643498384
107,-119.543396729,-100.643439498
108,-119.50362162,-100.643383843
109,-119.464137992,-100.643331235
110,-119.424941058,-100.643281503
111,-119.386026145,-100.643234484
112,-119.347388696,-100.643190026
113,-119.309024266,-100.643147986
114,-119.270928514,-100.643108227
115,-119.233097203,-100.643070624
116,-119.195526198,-100.643035054
117,-119.15821146,-100.643001406
118,-119.121149045,-100.642969573
119,-119.084335101,-100.642939454
120,-119.047765864,-100.642910955
121,-119.011437658,-100.642883985
122,-118.975346887,-100.642858461
123,-118.93949004,-100.642834304
124,-118.903863684,-100.642811437
125,-118.868464461,-100.642789791
126,-118.83328909,-100.642769299
127,-118.79833436,-100.642749897
128,-118.763597132,-100.642731527
129,-118.729074335,-100.642714131
130,-118.694762963,-100.642697658
131,-118.660660077,-100.642682057
132,-118.626762799,-100.642667281
133,-118.593068313,-100.642653285
134,-118.559573863,-100.642640028
135,-118.526276749,-100.642627469
136,-118.493174329,-100.642615571
137,-118.460264015,-100.642604298
138,-118.427543273,-100.642593617
139,-118.395009621,-100.642583496
140,-118.362660627,-100.642573906
141,-118.330493908,-100.642564817
142,-118.29850713,-100.642556203
143,-118.266698006,-100.642548039
144,-118.235064292,-100.642540301
145,-118.203603793,-100.642532966
146,-118.172314353,-100.642526013
147,-118.14119386,-100.642519422
148,-118.110240244,-100.642513173
149,-118.079451473,-100.642507248
150,-118.048825556,-100.642501631
151,-118.01836054,-100.642496305
152,-117.988054507,-100.642491254
153,-117.957905579,-100.642486465
154,-117.92791191,-100.642481923
155,-117.89807169,-100.642477616
156,-117.868383145,-100.642473531
157,-117.838844529,-100.642469656
158,-117.809454132,-100.642465982
159,-117.780210275,-100.642462496
160,-117.751111308,-100.64245919
161,-117.722155612,-100.642456053
162,-117.693341597,-100.642453078
163,-117.664667702,-100.642450255
164,-117.636132393,-100.642447577
165,-117.607734164,-100.642445037
166,-117.579471535,-100.642442626
167,-117.551343053,-100.642440339
168,-117.52334729,-100.642438169
169,-117.495482841,-100.642436109
170,-117.467748328,-100.642434155
