Iterations,Adagrad,AdagradG
0,-10847.0602286,-10847.0602286
1,-10605.2050199,-19392.0000062
2,-10446.2741781,-9090.87180022
3,-10323.1283063,-8714.12993293
4,-10221.0143989,-9593.69751809
5,-10133.1045851,-7734.62151765
6,-10055.5884058,-7785.07069703
7,-9986.0867679,-7415.65757259
8,-9922.99801075,-7400.74247693
9,-9865.18373538,-7134.47287287
10,-9811.80094397,-7078.16342139
11,-9762.2050195,-6908.59227188
12,-9715.89014113,-6842.22124704
13,-9672.45087733,-6732.83864485
14,-9631.55643235,-6670.89971291
15,-9592.93279976,-6596.24124472
16,-9556.35004648,-6543.08909582
17,-9521.6130335,-6488.51644409
18,-9488.55450293,-6444.04400909
19,-9457.02983366,-6401.49462569
20,-9426.91299885,-6364.1393301
21,-9398.093405,-6329.18240659
22,-9370.47338872,-6297.26928618
23,-9343.96621144,-6267.43085936
24,-9318.4944362,-6239.62754823
25,-9293.98860126,-6213.48292339
26,-9270.38612679,-6188.84511038
27,-9247.63040658,-6165.53229898
28,-9225.67004791,-6143.41169871
29,-9204.458231,-6122.37233456
30,-9183.95216608,-6102.31423331
31,-9164.11263026,-6083.15779821
32,-9144.90357051,-6064.82766672
33,-9126.29176153,-6047.26170326
34,-9108.24650954,-6030.40114589
35,-9090.73939462,-6014.19551514
36,-9073.7440458,-5998.59755706
37,-9057.23594376,-5983.56548349
38,-9041.19224732,-5969.06048964
39,-9025.59164016,-5955.04764403
40,-9010.41419504,-5941.49465345
41,-8995.64125312,-5928.37213852
42,-8981.25531638,-5915.65298557
43,-8967.23995152,-5903.31236533
44,-8953.5797037,-5891.32736319
45,-8940.26001915,-5879.67690314
46,-8927.26717535,-5868.34151529
47,-8914.58821811,-5857.30323418
48,-8902.21090452,-5846.54543874
49,-8890.12365126,-5836.05275243
50,-8878.31548764,-5825.81092491
51,-8866.77601284,-5815.80674333
52,-8855.49535689,-5806.02794053
53,-8844.46414499,-5796.46311935
54,-8833.67346493,-5787.1016793
55,-8823.1148371,-5777.93375294
56,-8812.78018706,-5768.9501463
57,-8802.66182021,-5760.14228573
58,-8792.75239852,-5751.50216884
59,-8783.04491902,-5743.02232023
60,-8773.53269397,-5734.69575072
61,-8764.20933246,-5726.5159204
62,-8755.06872341,-5718.47670461
63,-8746.10501977,-5710.57236296
64,-8737.31262386,-5702.79751083
65,-8728.68617378,-5695.14709332
66,-8720.22053063,-5687.61636126
67,-8711.91076676,-5680.20084925
68,-8703.7521547,-5672.89635538
69,-8695.74015685,-5665.69892266
70,-8687.87041586,-5658.60482183
71,-8680.13874556,-5651.61053558
72,-8672.54112256,-5644.71274398
73,-8665.0736783,-5637.90831099
74,-8657.73269159,-5631.19427206
75,-8650.51458162,-5624.56782263
76,-8643.41590139,-5618.02630749
77,-8636.43333153,-5611.56721096
78,-8629.56367441,-5605.18814777
79,-8622.8038487,-5598.88685458
80,-8616.15088413,-5592.66118221
81,-8609.60191661,-5586.50908832
82,-8603.15418356,-5580.42863068
83,-8596.80501955,-5574.41796088
84,-8590.55185212,-5568.47531855
85,-8584.39219789,-5562.59902587
86,-8578.32365873,-5556.78748256
87,-8572.34391833,-5551.0391612
88,-8566.45073875,-5545.3526028
89,-8560.64195725,-5539.72641277
90,-8554.91548327,-5534.15925709
91,-8549.2692955,-5528.64985878
92,-8543.70143915,-5523.19699455
93,-8538.21002331,-5517.79949174
94,-8532.79321848,-5512.45622542
95,-8527.44925414,-5507.16611568
96,-8522.1764165,-5501.92812511
97,-8516.97304633,-5496.74125644
98,-8511.83753687,-5491.60455032
99,-8506.76833186,-5486.51708323
100,-8501.76392364,-5481.47796557
101,-8496.82285132,-5476.48633985
102,-8491.94369905,-5471.54137892
103,-8487.1250944,-5466.64228446
104,-8482.36570668,-5461.78828538
105,-8477.66424551,-5456.97863652
106,-8473.01945929,-5452.21261723
107,-8468.43013384,-5447.48953018
108,-8463.89509102,-5442.8087002
109,-8459.41318748,-5438.16947313
110,-8454.9833134,-5433.57121484
111,-8450.60439129,-5429.01331023
112,-8446.27537488,-5424.49516234
113,-8441.995248,-5420.01619146
114,-8437.76302355,-5415.57583433
115,-8433.57774247,-5411.17354339
116,-8429.43847277,-5406.80878605
117,-8425.34430861,-5402.481044
118,-8421.29436941,-5398.18981259
119,-8417.28779893,-5393.9346002
120,-8413.32376452,-5389.71492771
121,-8409.40145627,-5385.53032792
122,-8405.52008625,-5381.38034505
123,-8401.67888779,-5377.26453429
124,-8397.87711473,-5373.1824613
125,-8394.11404079,-5369.13370183
126,-8390.38895886,-5365.11784125
127,-8386.70118039,-5361.13447423
128,-8383.0500348,-5357.18320434
129,-8379.43486883,-5353.26364369
130,-8375.85504604,-5349.37541266
131,-8372.30994624,-5345.51813952
132,-8368.79896494,-5341.69146019
133,-8365.32151289,-5337.89501793
134,-8361.87701554,-5334.1284631
135,-8358.46491263,-5330.39145288
136,-8355.08465769,-5326.68365105
137,-8351.73571762,-5323.00472776
138,-8348.41757228,-5319.35435932
139,-8345.12971406,-5315.73222797
140,-8341.87164752,-5312.13802173
141,-8338.64288898,-5308.57143415
142,-8335.44296621,-5305.0321642
143,-8332.271418,-5301.51991607
144,-8329.12779389,-5298.034399
145,-8326.01165384,-5294.57532712
146,-8322.92256787,-5291.14241937
147,-8319.8601158,-5287.73539926
148,-8316.82388694,-5284.35399483
149,-8313.81347981,-5280.99793845
150,-8310.82850187,-5277.66696674
151,-8307.86856927,-5274.36082045
152,-8304.93330656,-5271.07924434
153,-8302.02234649,-5267.82198706
154,-8299.13532975,-5264.58880108
155,-8296.27190474,-5261.37944257
156,-8293.43172737,-5258.19367131
157,-8290.6144608,-5255.0312506
158,-8287.8197753,-5251.89194718
159,-8285.04734802,-5248.77553113
160,-8282.29686278,-5245.68177583
161,-8279.56800991,-5242.61045782
162,-8276.86048608,-5239.56135679
163,-8274.17399408,-5236.53425547
164,-8271.50824271,-5233.52893958
165,-8268.8629466,-5230.54519775
166,-8266.23782601,-5227.58282147
167,-8263.63260676,-5224.64160503
168,-8261.04702001,-5221.72134544
169,-8258.48080216,-5218.82184239
170,-8255.93369471,-5215.94289822
171,-8253.4054441,-5213.08431782
172,-8250.89580161,-5210.24590858
173,-8248.40452325,-5207.42748041
174,-8245.93136959,-5204.62884559
175,-8243.47610568,-5201.84981882
176,-8241.03850094,-5199.0902171
177,-8238.61832902,-5196.34985974
178,-8236.21536775,-5193.62856828
179,-8233.82939897,-5190.92616647
180,-8231.46020847,-5188.24248023
181,-8229.10758591,-5185.5773376
182,-8226.77132469,-5182.93056873
