Iterations,Adagrad,AdagradG
0,-262.702781432,-262.702781432
1,-261.076562359,-443.751752764
2,-260.017900634,-280.911549581
3,-259.201906133,-256.762899051
4,-258.527702374,-233.924983669
5,-257.948783606,-227.081569923
6,-257.439265299,-222.765853295
7,-256.983020322,-220.431393683
8,-256.569211144,-218.682704944
9,-256.190147406,-217.387584012
10,-255.840142947,-216.304095746
11,-255.514856027,-215.391457743
12,-255.210884573,-214.589924458
13,-254.925505543,-213.879956986
14,-254.65650031,-213.240917508
15,-254.402033772,-212.661782636
16,-254.160568262,-212.132936531
17,-253.930800791,-211.647620822
18,-253.711616313,-211.200239741
19,-253.502052304,-210.786310599
20,-253.301271466,-210.402084472
21,-253.108540403,-210.044377363
22,-252.923212742,-209.7104658
23,-252.744715619,-209.397974498
24,-252.572538743,-209.104834186
25,-252.406225463,-208.829216412
26,-252.245365417,-208.569508461
27,-252.089588414,-208.3242747
28,-251.938559325,-208.092238321
29,-251.791973773,-207.872256956
30,-251.649554487,-207.663308522
31,-251.511048185,-207.46447484
32,-251.376222909,-207.274930532
33,-251.244865717,-207.093931467
34,-251.116780701,-206.920806049
35,-250.991787247,-206.754946774
36,-250.869718523,-206.595803414
37,-250.750420151,-206.442876679
38,-250.633749037,-206.295712892
39,-250.519572337,-206.153899142
40,-250.407766542,-206.017059107
41,-250.298216659,-205.884849302
42,-250.190815485,-205.756955793
43,-250.085462957,-205.633091254
44,-249.982065562,-205.512992376
45,-249.880535813,-205.396417536
46,-249.780791776,-205.283144738
47,-249.682756633,-205.172969764
48,-249.586358302,-205.065704521
49,-249.491529072,-204.961175566
50,-249.39820529,-204.859222775
51,-249.306327057,-204.759698151
52,-249.215837969,-204.662464758
53,-249.126684861,-204.567395748
54,-249.03881759,-204.474373498
55,-248.95218882,-204.383288818
56,-248.866753834,-204.294040246
57,-248.782470359,-204.206533403
58,-248.699298402,-204.120680409
59,-248.6172001,-204.036399361
60,-248.536139583,-203.953613846
61,-248.456082844,-203.872252512
62,-248.376997623,-203.792248666
63,-248.298853291,-203.713539917
64,-248.221620753,-203.636067844
65,-248.145272353,-203.559777698
66,-248.06978178,-203.484618125
67,-247.995123993,-203.410540914
68,-247.921275139,-203.337500773
69,-247.848212484,-203.265455111
70,-247.775914348,-203.194363849
71,-247.704360038,-203.124189243
72,-247.633529796,-203.054895717
73,-247.563404741,-202.98644972
74,-247.49396682,-202.91881958
75,-247.425198762,-202.851975385
76,-247.357084031,-202.785888858
77,-247.289606788,-202.720533256
78,-247.222751849,-202.655883264
79,-247.156504652,-202.591914908
80,-247.090851221,-202.528605467
81,-247.025778136,-202.465933391
82,-246.961272503,-202.403878234
83,-246.897321923,-202.342420582
84,-246.833914472,-202.281541988
85,-246.77103867,-202.22122492
86,-246.708683462,-202.161452699
87,-246.646838196,-202.102209454
88,-246.585492602,-202.043480071
89,-246.524636772,-201.985250152
90,-246.464261142,-201.927505971
91,-246.40435648,-201.870234438
92,-246.344913862,-201.813423062
93,-246.285924663,-201.75705992
94,-246.227380541,-201.701133622
95,-246.169273426,-201.645633282
96,-246.111595501,-201.590548496
97,-246.054339199,-201.535869311
98,-245.997497185,-201.4815862
99,-245.941062348,-201.427690047
100,-245.885027792,-201.374172116
101,-245.829386826,-201.321024039
102,-245.774132953,-201.268237793
103,-245.719259867,-201.215805683
104,-245.664761437,-201.163720328
105,-245.610631707,-201.11197464
106,-245.556864886,-201.060561816
107,-245.50345534,-201.00947532
108,-245.450397587,-200.95870887
109,-245.397686292,-200.908256426
110,-245.34531626,-200.858112181
111,-245.293282429,-200.808270546
112,-245.241579867,-200.758726142
113,-245.190203769,-200.70947379
114,-245.139149446,-200.6605085
115,-245.088412328,-200.611825465
116,-245.037987954,-200.563420049
117,-244.987871972,-200.515287784
118,-244.93806013,-200.467424358
119,-244.888548281,-200.41982561
120,-244.83933237,-200.372487522
121,-244.790408436,-200.325406216
122,-244.741772608,-200.278577942
123,-244.693421104,-200.231999077
124,-244.645350221,-200.185666121
125,-244.597556342,-200.139575684
126,-244.550035926,-200.09372449
127,-244.502785507,-200.048109366
128,-244.455801695,-200.002727241
129,-244.409081171,-199.95757514
130,-244.362620682,-199.91265018
131,-244.316417046,-199.867949568
132,-244.270467143,-199.823470595
