Iterations,NAG,NAGG
0,-1092.05207961,-1094.35323059
1,-1240.35269438,-1084.57174324
2,-8847.85757498,-1075.74583203
3,-7776.00691606,-1065.75206523
4,-2864.52902243,-1054.93796437
5,-7438.72553072,-1043.63367469
6,-985.336579091,-1032.14148874
7,-962.208698361,-1020.72643515
8,-1467.57538997,-1009.60982323
9,-2954.56598122,-998.966406144
10,-2082.52802984,-988.925020589
11,-2083.74878884,-979.572043257
12,-1785.82193908,-970.956755547
13,-1509.22514575,-963.097689448
14,-1350.28637021,-955.989165615
15,-1167.83292096,-949.607447538
16,-1064.00874613,-943.916157522
17,-987.77112362,-938.870790037
18,-951.67359287,-934.422298864
19,-936.826190678,-930.519825218
20,-931.313167265,-927.112682775
21,-928.312719296,-924.151733237
22,-925.670743945,-921.590283552
23,-923.181361449,-919.384621946
24,-920.894847015,-917.494291001
25,-918.852195056,-915.88217618
26,-917.073380169,-914.514469951
27,-915.561763691,-913.360556027
28,-914.308130163,-912.392845633
29,-913.294286767,-911.586587913
30,-912.496163233,-910.91966927
31,-911.886395632,-910.372411148
32,-911.436405475,-909.927372065
33,-911.118005714,-909.569157183
34,-910.904579173,-909.284237101
35,-910.771883406,-909.060776543
36,-910.698539904,-908.888473054
37,-910.666265722,-908.758405519
38,-910.659902972,-908.662892234
39,-910.667296899,-908.595358224
40,-910.679067349,-908.550211562
41,-910.688311808,-908.522728498
42,-910.690271514,-908.508947245
43,-910.681985644,-908.505570311
44,-910.661952632,-908.509875266
45,-910.629812357,-908.5196338
46,-910.586058402,-908.533038923
47,-910.531785784,-908.548640042
48,-910.468476529,-908.565285639
49,-910.397823094,-908.582073157
50,-910.321587915,-908.598305658
51,-910.241496149,-908.613454732
52,-910.159157936,-908.627129105
53,-910.076016105,-908.639048355
54,-909.993315167,-908.649021123
55,-909.912087536,-908.656927228
56,-909.833153198,-908.662703097
57,-909.757129424,-908.66632998
58,-909.684447538,-908.667824463
59,-909.615374208,-908.667230836
60,-909.550035173,-908.66461499
61,-909.488439754,-908.660059501
62,-909.430504843,-908.653659709
63,-909.376077465,-908.645520591
64,-909.324955257,-908.635754299
65,-909.276904467,-908.624478274
66,-909.231675293,-908.611813858
67,-909.189014517,-908.597885349
68,-909.148675527,-908.582819441
69,-909.110425894,-908.566745002
70,-909.074052738,-908.549793109
71,-909.03936615,-908.532097279
72,-909.006200949,-908.513793805
73,-908.974417065,-908.495022092
74,-908.94389881,-908.475924911
75,-908.914553305,-908.456648466
76,-908.886308295,-908.437342184
77,-908.859109548,-908.41815816
78,-908.832918033,-908.399250207
79,-908.807707021,-908.380772482
80,-908.78345922,-908.362877691
81,-908.760164071,-908.345714902
82,-908.737815251,-908.329427046
83,-908.716408451,-908.314148168
84,-908.695939455,-908.300000556
85,-908.676402552,-908.28709187
86,-908.657789261,-908.275512406
87,-908.640087387,-908.265332611
88,-908.623280378,-908.256601014
89,-908.607346954,-908.249342639
90,-908.592261003,-908.24355803
91,-908.577991684,-908.239222926
92,-908.564503729,-908.236288639
93,-908.55175789,-908.234683127
94,-908.539711511,-908.234312742
95,-908.528319189,-908.235064587
96,-908.517533491,-908.236809414
97,-908.507305699,-908.23940494
98,-908.497586569,-908.242699479
99,-908.488327065,-908.246535737
100,-908.479479061,-908.250754666
101,-908.470995992,-908.25519922
102,-908.462833446,-908.259717908
103,-908.454949677,-908.264168033
104,-908.447306045,-908.268418527
105,-908.439867368,-908.27235231
106,-908.4326022,-908.275868136
107,-908.425483011,-908.278881895
108,-908.4184863,-908.281327368
109,-908.411592622,-908.283156461
110,-908.404786548,-908.284338944
111,-908.398056557,-908.284861753
112,-908.391394869,-908.284727908
113,-908.384797234,-908.283955122
114,-908.378262668,-908.282574166
115,-908.37179316,-908.280627065
116,-908.365393353,-908.278165192
117,-908.359070201,-908.275247326
118,-908.352832617,-908.271937728
119,-908.346691116,-908.268304282
120,-908.340657458,-908.26441675
121,-908.334744297,-908.260345161
122,-908.328964844,-908.256158361
123,-908.323332547,-908.251922739
124,-908.317860787,-908.247701135
125,-908.312562603,-908.243551931
126,-908.307450437,-908.239528321
127,-908.302535915,-908.235677749
128,-908.297829645,-908.232041513
129,-908.293341056,-908.228654516
130,-908.28907826,-908.225545146
131,-908.285047944,-908.222735291
132,-908.281255295,-908.220240446
133,-908.277703946,-908.218069928
134,-908.274395954,-908.216227167
135,-908.271331797,-908.214710068
136,-908.268510399,-908.213511434
137,-908.265929172,-908.212619434
138,-908.263584078,-908.212018114
139,-908.261469706,-908.211687926
140,-908.259579365,-908.211606289
