Iterations,NAG,NAGG
0,-863.819038386,-866.640291129
1,-711.591903755,-714.104348238
2,-638.176493467,-602.478044252
3,-585.638548093,-516.892143435
4,-544.155088865,-452.069306238
5,-510.253504712,-402.895271105
6,-481.959913078,-365.429722763
7,-457.989131439,-336.743760239
8,-437.442611011,-314.664874111
9,-419.662889633,-297.575138974
10,-404.153317653,-284.266433853
11,-390.529684009,-273.836323366
12,-378.489172131,-265.610616056
13,-367.789483185,-259.08467173
14,-358.234282168,-253.87915518
15,-349.662758248,-249.707177591
16,-341.941960497,-246.350190478
17,-334.96106162,-243.640405419
18,-328.626994015,-241.447989451
19,-322.861082964,-239.671723348
20,-317.596417231,-238.232154798
21,-312.775773385,-237.066538021
22,-308.349961555,-236.125047818
23,-304.276495744,-235.36790489
24,-300.518516741,-234.76315989
25,-297.043913511,-234.28496329
26,-293.824601851,-233.912203871
27,-290.835928641,-233.627436332
28,-288.056177108,-233.416043163
29,-285.466153841,-233.26559101
30,-283.048842394,-233.165350137
31,-280.78911142,-233.105949527
32,-278.673467678,-233.079141672
33,-276.68984618,-233.077651648
34,-274.827431192,-233.095086082
35,-273.076502995,-233.125879672
36,-271.428306242,-233.165260365
37,-269.874936475,-233.209218783
38,-268.409242008,-233.254472486
39,-267.024738813,-233.298420338
40,-265.71553648,-233.339086143
41,-264.476273631,-233.375053272
42,-263.302061431,-233.405393422
43,-262.188434036,-233.42959292
44,-261.131305052,-233.447479664
45,-260.126929145,-233.459153129
46,-259.171868146,-233.464919194
47,-258.262961044,-233.465231061
48,-257.397297362,-233.460637189
49,-256.572193501,-233.451736936
50,-255.785171653,-233.439144439
51,-255.033940999,-233.423460972
52,-254.316380885,-233.405255718
53,-253.630525758,-233.385054437
54,-252.974551647,-233.363335067
55,-252.34676401,-233.340528899
56,-251.745586791,-233.317025671
57,-251.169552557,-233.29318081
58,-250.617293578,-233.269323141
59,-250.087533765,-233.245761596
60,-249.579081366,-233.222789895
61,-249.090822332,-233.200688566
62,-248.621714298,-233.179724174
63,-248.170781095,-233.160146013
64,-247.737107762,-233.142180843
65,-247.319835987,-233.126026421
66,-246.918159941,-233.111844674
67,-246.531322478,-233.09975532
68,-246.158611642,-233.089830632
69,-245.799357475,-233.082091866
70,-245.45292908,-233.076507726
71,-245.118731925,-233.072995023
72,-244.796205368,-233.071421532
73,-244.484820364,-233.071610915
74,-244.184077369,-233.073349441
75,-243.89350439,-233.076394162
76,-243.612655192,-233.080482104
77,-243.341107643,-233.085340012
78,-243.078462173,-233.090694143
79,-242.824340353,-233.096279639
80,-242.578383577,-233.101849008
81,-242.34025184,-233.107179347
82,-242.109622598,-233.11207802
83,-241.886189714,-233.11638661
84,-241.669662473,-233.119983095
85,-241.459764672,-233.122782307
86,-241.256233761,-233.124734834
87,-241.058820053,-233.125824609
88,-240.867285984,-233.126065486
89,-240.681405413,-233.125497094
90,-240.500962983,-233.124180304
91,-240.325753514,-233.122192571
92,-240.155581433,-233.119623399
93,-239.990260248,-233.116570114
94,-239.829612053,-233.113134059
95,-239.673467057,-233.109417317
96,-239.521663154,-233.105519953
97,-239.374045507,-233.101537789
98,-239.230466169,-233.097560665
99,-239.090783718,-233.09367111
100,-238.954862918,-233.089943379
101,-238.822574401,-233.086442756
102,-238.693794364,-233.083225078
103,-238.568404285,-233.080336428
104,-238.446290662,-233.077812938
105,-238.327344755,-233.075680712
106,-238.211462351,-233.073955833
107,-238.098543543,-233.072644484
108,-237.988492515,-233.071743191
109,-237.881217347,-233.071239207
110,-237.776629822,-233.071111063
111,-237.674645253,-233.0713293
112,-237.575182312,-233.071857393
113,-237.478162871,-233.072652851
114,-237.383511852,-233.073668494
115,-237.291157088,-233.074853853
116,-237.20102918,-233.076156677
117,-237.11306138,-233.077524467
118,-237.027189461,-233.078906
119,-236.943351606,-233.080252776
120,-236.861488303,-233.081520334
121,-236.781542233,-233.082669379
122,-236.703458181,-233.083666697
123,-236.627182938,-233.084485804
124,-236.552665216,-233.085107342
125,-236.479855561,-233.085519196
126,-236.408706276,-233.085716366
127,-236.339171345,-233.085700596
128,-236.27120636,-233.085479818
129,-236.204768453,-233.085067422
130,-236.139816234,-233.084481426
131,-236.076309724,-233.083743569
132,-236.0142103,-233.082878372
133,-235.953480638,-233.081912215
134,-235.89408466,-233.080872455
135,-235.835987482,-233.079786607
136,-235.779155367,-233.078681614
137,-235.723555676,-233.077583207
138,-235.669156829,-233.076515371
139,-235.615928259,-233.075499901
140,-235.563840373,-233.074556056
141,-235.512864515,-233.073700298
142,-235.462972929,-233.072946108
143,-235.414138723,-233.072303871
144,-235.366335836,-233.07178082
145,-235.319539009,-233.071381044
146,-235.273723751,-233.07110554
147,-235.228866313,-233.070952317
148,-235.184943659,-233.070916556
149,-235.14193344,-233.070990806
150,-235.099813967,-233.07116524
151,-235.058564189,-233.07142795
152,-235.01816367,-233.071765293
153,-234.978592565,-233.072162269
154,-234.9398316,-233.072602938
155,-234.901862051,-233.073070859
156,-234.864665726,-233.073549537
157,-234.828224945,-233.074022877
158,-234.792522521,-233.074475617
159,-234.757541748,-233.074893736
160,-234.723266377,-233.075264814
161,-234.689680608,-233.075578343
162,-234.656769067,-233.075825965
163,-234.6245168,-233.076001642
164,-234.592909253,-233.076101738
165,-234.56193226,-233.076125033
166,-234.531572031,-233.076072649
167,-234.50181514,-233.075947904
168,-234.472648513,-233.075756108
169,-234.444059416,-233.075504296
170,-234.416035443,-233.075200927
171,-234.388564508,-233.074855549
172,-234.361634835,-233.074478455
173,-234.335234945,-233.074080328
174,-234.309353651,-233.073671911
175,-234.283980045,-233.073263681
176,-234.259103492,-233.072865572
177,-234.23471362,-233.072486716
178,-234.210800314,-233.072135244
179,-234.187353707,-233.071818115
180,-234.164364173,-233.071541005
181,-234.141822318,-233.071308228
182,-234.119718977,-233.071122706
183,-234.098045202,-233.070985978
184,-234.076792261,-233.070898239
185,-234.055951629,-233.070858415
