Iterations,NAG,NAGG
0,-130.292261893,-130.738025059
1,-115.400288984,-115.439058829
2,-112.140502916,-110.724881664
3,-110.315690074,-107.320417647
4,-108.941896189,-105.030684835
5,-107.860545182,-103.548515018
6,-106.992541921,-102.605434794
7,-106.285384084,-102.00755431
8,-105.70190835,-101.62611285
9,-105.215038268,-101.378398569
10,-104.80460721,-101.211815364
11,-104.455310364,-101.0933505
12,-104.155350126,-101.003134834
13,-103.895518544,-100.93029003
14,-103.66855879,-100.869818216
15,-103.468708132,-100.820018202
16,-103.2913622,-100.78042357
17,-103.132822974,-100.750435851
18,-102.990106466,-100.728734021
19,-102.860794204,-100.713338269
20,-102.742917591,-100.702048021
21,-102.634867312,-100.692942998
22,-102.535322026,-100.684722209
23,-102.443192022,-100.6767939
24,-102.357574504,-100.669150413
25,-102.277717978,-100.662126679
26,-102.202993774,-100.656147469
27,-102.132873182,-100.651536998
28,-102.066909045,-100.648421044
29,-102.004720876,-100.64671543
30,-101.945982818,-100.64617393
31,-101.890413859,-100.646463082
32,-101.837769898,-100.647236429
33,-101.787837282,-100.64819066
34,-101.740427557,-100.649096729
35,-101.695373198,-100.649807481
36,-101.652524134,-100.650248443
37,-101.611744926,-100.650400171
38,-101.572912473,-100.65027945
39,-101.535914147,-100.649924011
40,-101.500646281,-100.649382367
41,-101.467012933,-100.648708011
42,-101.434924887,-100.647956048
43,-101.404298837,-100.647180407
44,-101.375056718,-100.646430576
45,-101.347125164,-100.645747878
46,-101.320435058,-100.645162031
47,-101.294921166,-100.644688968
48,-101.270521829,-100.644330627
49,-101.247178711,-100.644076829
50,-101.224836579,-100.643908826
51,-101.203443122,-100.643803647
52,-101.182948794,-100.64373832
53,-101.163306671,-100.643693171
54,-101.144472331,-100.643653758
55,-101.126403741,-100.643611381
56,-101.109061153,-100.643562429
57,-101.092407006,-100.643507007
58,-101.076405841,-100.643447345
59,-101.061024204,-100.643386362
60,-101.04623057,-100.643326651
61,-101.031995254,-100.643269941
62,-101.018290334,-100.643216979
63,-101.005089569,-100.643167704
64,-100.992368323,-100.643121548
65,-100.980103485,-100.643077767
66,-100.968273393,-100.643035697
67,-100.956857764,-100.642994935
68,-100.945837613,-100.642955421
69,-100.935195187,-100.642917455
70,-100.92491389,-100.642881653
71,-100.914978219,-100.642848851
72,-100.905373691,-100.642819978
73,-100.896086783,-100.642795897
74,-100.887104868,-100.642777235
75,-100.87841615,-100.64276423
76,-100.870009613,-100.642756619
77,-100.861874957,-100.642753588
78,-100.854002551,-100.642753808
79,-100.846383377,-100.642755553
80,-100.839008982,-100.642756883
81,-100.831871436,-100.642755868
82,-100.824963282,-100.642750822
83,-100.8182775,-100.642740498
84,-100.811807466,-100.642724238
85,-100.805546915,-100.64270204
86,-100.79948991,-100.642674546
87,-100.793630808,-100.642642962
88,-100.787964233,-100.642608914
89,-100.782485047,-100.642574273
90,-100.777188328,-100.642540962
91,-100.772069345,-100.642510779
92,-100.767123538,-100.642485233
93,-100.762346502,-100.642465436
94,-100.757733967,-100.642452026
95,-100.753281783,-100.642445147
96,-100.748985908,-100.642444473
97,-100.744842396,-100.642449268
98,-100.740847386,-100.64245848
99,-100.736997091,-100.642470848
100,-100.733287795,-100.642485016
101,-100.729715839,-100.642499643
102,-100.726277621,-100.642513493
103,-100.722969592,-100.642525513
104,-100.719788244,-100.642534879
105,-100.716730116,-100.64254102
106,-100.713791787,-100.642543622
107,-100.710969875,-100.642542612
108,-100.708261036,-100.642538132
109,-100.705661964,-100.642530505
110,-100.703169387,-100.642520194
111,-100.700780075,-100.642507765
112,-100.698490832,-100.642493852
113,-100.696298502,-100.642479122
114,-100.694199969,-100.642464243
115,-100.692192155,-100.642449861
116,-100.690272028,-100.642436566
117,-100.688436597,-100.642424875
118,-100.686682917,-100.64241521
119,-100.68500809,-100.642407874
120,-100.683409265,-100.642403047
121,-100.681883643,-100.64240077
122,-100.680428474,-100.64240095
123,-100.679041063,-100.642403365
124,-100.67771877,-100.642407675
125,-100.676459008,-100.642413452
126,-100.67525925,-100.642420199
127,-100.674117026,-100.642427388
128,-100.673029926,-100.642434493
129,-100.671995598,-100.642441023
130,-100.671011756,-100.642446551
131,-100.67007617,-100.642450741
132,-100.669186677,-100.642453363
133,-100.668341174,-100.642454302
134,-100.667537623,-100.64245356
135,-100.666774048,-100.642451243
136,-100.666048536,-100.642447551
137,-100.665359239,-100.642442754
138,-100.66470437,-100.642437168
139,-100.664082206,-100.642431135
140,-100.663491085,-100.642424993
141,-100.662929407,-100.642419056
142,-100.662395633,-100.642413602
143,-100.661888285,-100.642408853
144,-100.661405944,-100.642404971
145,-100.660947249,-100.642402056
146,-100.660510895,-100.642400142
147,-100.660095637,-100.64239921
148,-100.659700281,-100.642399186
149,-100.65932369,-100.642399959
150,-100.658964779,-100.642401385
151,-100.658622513,-100.642403301
152,-100.658295908,-100.642405535
153,-100.657984029,-100.642407914
154,-100.657685988,-100.642410275
155,-100.657400942,-100.642412471
156,-100.657128093,-100.642414377
157,-100.656866686,-100.642415896
158,-100.656616006,-100.642416958
159,-100.65637538,-100.642417527
160,-100.656144171,-100.642417594
161,-100.655921781,-100.64241718
162,-100.655707647,-100.642416333
163,-100.655501237,-100.642415118
164,-100.655302057,-100.642413618
165,-100.655109638,-100.642411925
166,-100.654923546,-100.642410134
167,-100.654743371,-100.642408336
168,-100.654568733,-100.642406615
169,-100.654399276,-100.642405044
170,-100.654234669,-100.642403679
171,-100.654074604,-100.642402557
172,-100.653918794,-100.642401699
173,-100.653766974,-100.642401108
174,-100.653618897,-100.642400771
175,-100.653474336,-100.642400662
176,-100.65333308,-100.642400745
177,-100.653194935,-100.642400981
178,-100.653059721,-100.642401323
179,-100.652927275,-100.64240173
180,-100.652797443,-100.642402161
181,-100.652670089,-100.642402583
182,-100.652545083,-100.642402966
183,-100.652422311,-100.642403291
184,-100.652301665,-100.642403544
185,-100.652183049,-100.642403719
186,-100.652066374,-100.642403816
187,-100.651951559,-100.642403839
188,-100.651838532,-100.642403794
189,-100.651727226,-100.642403692
190,-100.651617582,-100.642403541
191,-100.651509545,-100.642403353
192,-100.651403065,-100.642403136
193,-100.651298099,-100.642402899
194,-100.651194606,-100.642402647
195,-100.65109255,-100.642402386
196,-100.650991899,-100.642402119
197,-100.650892623,-100.642401848
198,-100.650794696,-100.642401575
199,-100.650698093,-100.642401301
200,-100.650602793,-100.642401027
201,-100.650508776,-100.642400756
202,-100.650416025,-100.64240049
203,-100.650324523,-100.642400232
204,-100.650234256,-100.642399985
205,-100.65014521,-100.642399755
206,-100.650057372,-100.642399547
207,-100.649970731,-100.642399367
208,-100.649885277,-100.642399219
209,-100.649800999,-100.642399109
210,-100.649717887,-100.642399041
211,-100.649635933,-100.642399017
212,-100.649555127,-100.642399037
213,-100.649475463,-100.642399101
214,-100.64939693,-100.642399203
215,-100.649319523,-100.642399339
216,-100.649243233,-100.642399499
217,-100.649168052,-100.642399675
218,-100.649093973,-100.642399855
219,-100.649020988,-100.642400027
220,-100.648949091,-100.64240018
221,-100.648878274,-100.642400302
222,-100.648808528,-100.642400385
223,-100.648739848,-100.64240042
224,-100.648672225,-100.642400403
225,-100.648605652,-100.642400331
226,-100.648540122,-100.642400205
227,-100.648475627,-100.64240003
228,-100.648412159,-100.642399812
229,-100.648349712,-100.642399561
230,-100.648288276,-100.642399287
231,-100.648227845,-100.642399003
232,-100.648168411,-100.642398723
233,-100.648109967,-100.642398459
234,-100.648052504,-100.642398222
235,-100.647996015,-100.642398024
236,-100.647940493,-100.642397872
237,-100.647885928,-100.642397772
238,-100.647832315,-100.642397725
239,-100.647779645,-100.642397733
240,-100.64772791,-100.642397791
241,-100.647677103,-100.642397894
242,-100.647627216,-100.642398034
243,-100.647578241,-100.6423982
244,-100.647530171,-100.642398382
245,-100.647482998,-100.642398568
246,-100.647436715,-100.642398747
247,-100.647391313,-100.642398908
248,-100.647346786,-100.642399042
249,-100.647303125,-100.642399141
250,-100.647260322,-100.642399201
251,-100.647218371,-100.642399217
252,-100.647177263,-100.64239919
253,-100.647136991,-100.642399121
254,-100.647097547,-100.642399015
255,-100.647058923,-100.642398877
256,-100.647021111,-100.642398715
257,-100.646984104,-100.642398538
258,-100.646947893,-100.642398354
259,-100.646912471,-100.642398172
260,-100.646877829,-100.642398002
261,-100.64684396,-100.64239785
262,-100.646810854,-100.642397723
263,-100.646778504,-100.642397626
264,-100.646746901,-100.642397562
265,-100.646716037,-100.642397531
266,-100.646685903,-100.642397533
267,-100.646656489,-100.642397566
268,-100.646627788,-100.642397625
269,-100.646599791,-100.642397705
270,-100.646572487,-100.642397801
271,-100.646545867,-100.642397905
272,-100.646519923,-100.642398011
273,-100.646494644,-100.642398114
274,-100.646470021,-100.642398206
275,-100.646446043,-100.642398283
276,-100.646422701,-100.642398342
277,-100.646399984,-100.64239838
278,-100.646377882,-100.642398395
279,-100.646356384,-100.642398388
280,-100.64633548,-100.64239836
281,-100.646315157,-100.642398312
282,-100.646295407,-100.642398248
283,-100.646276216,-100.642398173
284,-100.646257574,-100.642398089
285,-100.64623947,-100.642398002
286,-100.64622189,-100.642397915
287,-100.646204825,-100.642397832
288,-100.646188261,-100.642397757
289,-100.646172187,-100.642397693
290,-100.64615659,-100.642397642
291,-100.646141458,-100.642397605
292,-100.646126779,-100.642397583
293,-100.646112539,-100.642397575
294,-100.646098727,-100.64239758
295,-100.64608533,-100.642397597
296,-100.646072335,-100.642397623
297,-100.646059729,-100.642397657
298,-100.646047499,-100.642397696
299,-100.646035632,-100.642397738
