Iterations,NAG,NAGG
0,-10546.0778948,-10797.5125349
1,-11616.9462001,-8192.29838496
2,-7821.71330188,-8020.87720317
3,-7722.36615421,-7880.23422903
4,-7507.39538074,-7740.12990051
5,-7391.89982822,-7602.04872309
6,-7290.00158509,-7465.98525132
7,-7197.22922367,-7331.55280597
8,-7111.9058811,-7199.01457186
9,-7032.96173547,-7069.28852776
10,-6959.63034662,-6943.70048121
11,-6891.33643988,-6823.65389863
12,-6827.62344001,-6710.35063151
13,-6768.10847078,-6604.63852902
14,-6712.45711706,-6506.97948266
15,-6660.36993308,-6417.49313348
16,-6611.57509378,-6336.03079886
17,-6565.82407093,-6262.24976579
18,-6522.88879614,-6195.67486294
19,-6482.55958652,-6135.74536386
20,-6444.64348617,-6081.85016298
21,-6408.96285049,-6033.35491402
22,-6375.35408459,-5989.62375212
23,-6343.66649253,-5950.03688148
24,-6313.7612176,-5914.00441339
25,-6285.51026567,-5880.97651798
26,-6258.79560768,-5850.45004161
27,-6233.50835784,-5821.97199247
28,-6209.54802294,-5795.14051056
29,-6186.82181749,-5769.60401897
30,-6165.24403849,-5745.05919557
31,-6144.73549392,-5721.24825898
32,-6125.22297934,-5697.95589338
33,-6106.63879775,-5675.00599433
34,-6088.92031854,-5652.25832428
35,-6072.00957192,-5629.60512406
36,-6055.85287597,-5606.96771776
37,-6040.40049359,-5584.29315544
38,-6025.60631732,-5561.5509438
39,-6011.42757971,-5538.72991287
40,-5997.82458776,-5515.83525427
41,-5984.76047933,-5492.88575058
42,-5972.20100019,-5469.91119881
43,-5960.11429993,-5446.95002081
44,-5948.47074536,-5424.04704934
45,-5937.24274998,-5401.25148113
46,-5926.40461807,-5378.6149939
47,-5915.93240225,-5356.19003058
48,-5905.80377316,-5334.02825875
49,-5895.99790033,-5312.17921498
50,-5886.49534297,-5290.68914305
51,-5877.27794994,-5269.60003231
52,-5868.32876787,-5248.94885897
53,-5859.63195669,-5228.7670296
54,-5851.17271193,-5209.08002284
55,-5842.93719296,-5189.90722248
56,-5834.91245687,-5171.26193196
57,-5827.08639719,-5153.15155738
58,-5819.44768719,-5135.57794274
59,-5811.98572738,-5118.53783743
60,-5804.69059662,-5102.02347303
61,-5797.55300687,-5086.02322377
62,-5790.56426095,-5070.52232307
63,-5783.71621338,-5055.50360832
64,-5777.00123379,-5040.94826643
65,-5770.41217293,-5026.8365544
66,-5763.94233099,-5013.14847218
67,-5757.58542802,-4999.86436802
68,-5751.33557647,-4986.96546136
69,-5745.18725546,-4974.434272
70,-5739.13528698,-4962.25494958
71,-5733.17481352,-4950.41350127
72,-5727.30127739,-4938.89792037
73,-5721.51040133,-4927.69822171
74,-5715.79817057,-4916.80639316
75,-5710.16081598,-4906.2162748
76,-5704.59479848,-4895.9233789
77,-5699.09679445,-4885.92466472
78,-5693.6636822,-4876.21828222
79,-5688.29252928,-4866.80329832
80,-5682.98058072,-4857.67941847
81,-5677.72524802,-4848.8467147
82,-5672.5240989,-4840.30536967
83,-5667.37484776,-4832.05544463
84,-5662.27534667,-4824.09667702
85,-5657.22357711,-4816.42831161
86,-5652.21764209,-4809.04896748
87,-5647.2557589,-4801.95654135
88,-5642.33625225,-4795.14814639
89,-5637.45754787,-4788.62008465
90,-5632.61816651,-4782.36785003
91,-5627.81671833,-4776.38615843
92,-5623.05189757,-4770.66900084
93,-5618.32247764,-4765.2097152
94,-5613.62730641,-4760.00107268
95,-5608.96530185,-4755.03537408
96,-5604.3354479,-4750.3045523
97,-5599.73679056,-4745.8002772
98,-5595.16843424,-4741.51405939
99,-5590.62953834,-4737.43735005
100,-5586.11931395,-4733.56163445
101,-5581.63702082,-4729.8785169
102,-5577.18196446,-4726.37979595
103,-5572.75349339,-4723.05752844
104,-5568.35099661,-4719.90408209
105,-5563.97390115,-4716.91217609
106,-5559.62166976,-4714.07491006
