Iterations,NAG,NAGG
0,-261.732790264,-262.45337046
1,-262.351541699,-245.262845365
2,-264.201544783,-236.182161902
3,-250.568920638,-229.854513904
4,-232.449532187,-225.573387374
5,-229.176304316,-222.561453174
6,-227.293290704,-220.259803691
7,-225.737938953,-218.342002484
8,-224.397125015,-216.646003594
9,-223.220239633,-215.10537846
10,-222.172480593,-213.700551832
11,-221.228730251,-212.429649643
12,-220.370620465,-211.293452027
13,-219.584392239,-210.289105834
14,-218.859458182,-209.408727486
15,-218.187476923,-208.640409586
16,-217.561745386,-207.970095399
17,-216.976783376,-207.383403618
18,-216.428040329,-206.866932334
19,-215.911684496,-206.408914213
20,-215.424449674,-205.999328536
21,-214.963522556,-205.629686322
22,-214.526458743,-205.292706723
23,-214.111119051,-204.9820369
24,-213.715620313,-204.692080925
25,-213.338296675,-204.41793251
26,-212.977668627,-204.155368835
27,-212.632417812,-203.900857318
28,-212.301366241,-203.651541888
29,-211.983458886,-203.405196181
30,-211.677748926,-203.160148073
31,-211.383385098,-202.91518884
32,-211.099600749,-202.669481573
33,-210.825704289,-202.422479757
34,-210.561070813,-202.1738614
35,-210.305134717,-201.923478883
36,-210.057383164,-201.671321285
37,-209.817350292,-201.417484627
38,-209.584612064,-201.162146085
39,-209.358781696,-200.905539876
40,-209.139505587,-200.647934417
41,-208.926459689,-200.389611744
42,-208.719346293,-200.130850615
43,-208.517891161,-199.871914395
44,-208.321840984,-199.613043991
45,-208.130961123,-199.354455203
46,-207.945033614,-199.096339351
47,-207.763855391,-198.838865872
48,-207.587236725,-198.582185869
49,-207.414999838,-198.326435973
50,-207.246977689,-198.071742269
51,-207.083012891,-197.818224238
52,-206.922956775,-197.56599868
53,-206.76666855,-197.315183485
54,-206.614014579,-197.065901001
55,-206.464867734,-196.818280649
56,-206.319106835,-196.57246054
57,-206.176616156,-196.328587891
58,-206.037284992,-196.086818263
59,-205.90100728,-195.847313755
60,-205.767681264,-195.610240411
61,-205.637209203,-195.375765119
62,-205.509497113,-195.144052299
63,-205.384454539,-194.915260621
64,-205.26199435,-194.689539962
65,-205.142032568,-194.467028766
66,-205.0244882,-194.247851945
67,-204.909283102,-194.03211941
68,-204.796341844,-193.819925307
69,-204.685591602,-193.611347962
70,-204.576962045,-193.406450517
71,-204.47038524,-193.205282176
72,-204.365795566,-193.007879944
73,-204.263129627,-192.814270714
74,-204.162326175,-192.624473538
75,-204.063326041,-192.438501938
76,-203.966072058,-192.256366091
77,-203.870509005,-192.078074796
78,-203.776583538,-191.903637101
79,-203.68424413,-191.733063544
80,-203.593441015,-191.566366962
81,-203.504126134,-191.403562867
82,-203.416253074,-191.244669392
83,-203.329777022,-191.089706861
84,-203.24465471,-190.938697018
85,-203.160844368,-190.79166201
86,-203.078305672,-190.648623173
87,-202.996999699,-190.509599728
88,-202.916888883,-190.374607459
89,-202.837936964,-190.243657433
90,-202.76010895,-190.116754858
91,-202.683371075,-189.993898105
92,-202.607690751,-189.875077947
93,-202.533036538,-189.760277045
94,-202.459378094,-189.649469674
95,-202.386686147,-189.542621722
96,-202.314932451,-189.439690907
97,-202.244089757,-189.340627233
98,-202.174131773,-189.245373612
99,-202.105033133,-189.153866651
100,-202.036769365,-189.066037539
101,-201.969316861,-188.981812998
102,-201.902652844,-188.90111626
103,-201.836755341,-188.823868031
104,-201.771603154,-188.749987394
105,-201.707175834,-188.679392644
106,-201.643453654,-188.61200201
107,-201.580417583,-188.547734262
108,-201.518049264,-188.486509197
109,-201.456330986,-188.428247982
110,-201.395245667,-188.372873384
111,-201.334776827,-188.320309882
112,-201.274908569,-188.270483667
113,-201.215625558,-188.223322567
114,-201.156913002,-188.1787559
115,-201.09875663,-188.136714276
116,-201.041142676,-188.097129367
117,-200.984057861,-188.059933668
118,-200.927489374,-188.025060262
119,-200.871424856,-187.992442587
120,-200.815852382,-187.962014249
121,-200.760760449,-187.933708848
122,-200.706137956,-187.907459857
123,-200.651974192,-187.883200532
124,-200.598258819,-187.86086387
125,-200.544981864,-187.840382595
126,-200.492133695,-187.821689193
127,-200.43970502,-187.804715963
128,-200.387686863,-187.789395109
129,-200.33607056,-187.77565884
130,-200.284847743,-187.763439496
131,-200.234010328,-187.752669675
132,-200.183550508,-187.74328238
133,-200.133460736,-187.735211155
134,-200.083733719,-187.728390228
135,-200.034362407,-187.722754651
136,-199.985339982,-187.718240432
137,-199.936659852,-187.714784664
138,-199.888315634,-187.712325638
139,-199.840301157,-187.710802956
140,-199.792610443,-187.710157628
141,-199.745237705,-187.710332158
142,-199.698177336,-187.711270622
143,-199.651423904,-187.712918728
144,-199.604972143,-187.715223873
145,-199.558816949,-187.718135173
146,-199.512953369,-187.721603494
147,-199.467376597,-187.725581459
148,-199.422081972,-187.73002345
149,-199.377064963,-187.734885594
150,-199.332321173,-187.740125732
151,-199.287846329,-187.745703391
152,-199.243636276,-187.751579731
153,-199.199686977,-187.757717499
154,-199.155994503,-187.764080964
155,-199.112555033,-187.770635859
156,-199.06936485,-187.777349319
157,-199.026420332,-187.784189815
158,-198.983717954,-187.791127096
159,-198.941254283,-187.798132136
160,-198.899025973,-187.805177083
161,-198.857029765,-187.81223522
162,-198.815262481,-187.819280931
163,-198.773721022,-187.826289681
164,-198.732402367,-187.833237998
165,-198.691303569,-187.840103467
166,-198.650421754,-187.846864733
167,-198.609754116,-187.853501511
168,-198.569297919,-187.859994595
169,-198.529050491,-187.866325877
170,-198.489009224,-187.872478365
171,-198.449171574,-187.878436201
172,-198.409535054,-187.884184681
173,-198.370097238,-187.889710264
174,-198.330855757,-187.895000585
175,-198.291808297,-187.900044459
176,-198.252952599,-187.904831876
177,-198.214286455,-187.909353996
178,-198.175807711,-187.913603126
179,-198.137514262,-187.917572706
180,-198.099404051,-187.921257272
181,-198.06147507,-187.924652423
182,-198.023725359,-187.927754781
183,-197.986153001,-187.930561942
184,-197.948756126,-187.93307243
185,-197.911532905,-187.935285644
186,-197.874481554,-187.937201807
187,-197.837600329,-187.93882191
188,-197.800887528,-187.940147657
189,-197.764341485,-187.94118142
190,-197.727960578,-187.941926181
191,-197.69174322,-187.942385488
192,-197.65568786,-187.94256341
193,-197.619792984,-187.942464493
194,-197.584057115,-187.942093725
195,-197.548478808,-187.941456496
196,-197.513056652,-187.94055857
197,-197.47778927,-187.939406057
198,-197.442675316,-187.938005384
199,-197.407713474,-187.936363277
200,-197.372902462,-187.934486739
201,-197.338241023,-187.932383036
202,-197.303727932,-187.930059679
203,-197.269361992,-187.927524417
204,-197.235142032,-187.92478522
205,-197.201066908,-187.921850274
206,-197.167135503,-187.918727973
207,-197.133346725,-187.915426908
208,-197.099699505,-187.911955861
209,-197.066192799,-187.908323798
210,-197.032825588,-187.904539859
211,-196.999596872,-187.900613351
212,-196.966505676,-187.896553734
213,-196.933551044,-187.892370614
214,-196.900732043,-187.888073723
215,-196.868047759,-187.883672907
216,-196.835497296,-187.879178105
217,-196.803079779,-187.874599331
218,-196.770794351,-187.869946648
219,-196.738640171,-187.865230143
220,-196.706616419,-187.8604599
221,-196.674722286,-187.855645973
222,-196.642956985,-187.850798353
223,-196.611319741,-187.845926934
224,-196.579809794,-187.841041487
225,-196.548426402,-187.836151627
226,-196.517168832,-187.831266778
