Iterations,NAG,NAGG
0,-391.265316169,-397.120103689
1,-396.121060964,-324.129364548
2,-319.936849167,-321.723360344
3,-319.953237844,-320.076870385
4,-318.721670103,-318.715837494
5,-318.245805861,-317.643904465
6,-317.949602026,-316.811938633
7,-317.714959654,-316.160834357
8,-317.515631302,-315.638303514
9,-317.341149153,-315.203509096
10,-317.184055265,-314.826873604
11,-317.038812167,-314.487672221
12,-316.901697054,-314.171853232
13,-316.770388937,-313.870785452
14,-316.64348915,-313.58045879
15,-316.520159246,-313.300516559
16,-316.399895697,-313.032917614
17,-316.282399059,-312.78046293
18,-316.167495868,-312.545572784
19,-316.055088247,-312.329575615
20,-315.945119544,-312.132538507
21,-315.837551115,-311.953490091
22,-315.732347736,-311.79082251
23,-315.62946963,-311.642691068
24,-315.528869164,-311.507306122
25,-315.430490514,-311.383086738
26,-315.334270923,-311.268696509
27,-315.24014264,-311.163004981
28,-315.148034985,-311.06501989
29,-315.057876252,-310.97382495
30,-314.969595329,-310.88854293
31,-314.883122989,-310.808329314
32,-314.79839288,-310.732390891
33,-314.715342211,-310.660017483
34,-314.633912184,-310.59061377
35,-314.554048184,-310.523720862
36,-314.475699793,-310.459022231
37,-314.398820637,-310.396333963
38,-314.323368125,-310.335583372
39,-314.249303118,-310.276781988
40,-314.176589545,-310.219998771
41,-314.105194016,-310.165337634
42,-314.03508543,-310.112921039
43,-313.966234617,-310.062879294
44,-313.898614002,-310.015343853
45,-313.832197317,-309.970442518
46,-313.766959343,-309.928294839
47,-313.702875705,-309.889006796
48,-313.6399227,-309.852664752
49,-313.57807716,-309.819329299
50,-313.517316355,-309.789029942
51,-313.457617915,-309.761761454
52,-313.398959792,-309.737482457
53,-313.341320228,-309.716116299
54,-313.284677748,-309.697553931
55,-313.229011166,-309.681658217
56,-313.174299596,-309.668269024
57,-313.120522477,-309.657208533
58,-313.067659592,-309.648286354
59,-313.015691099,-309.64130426
60,-312.96459755,-309.636060474
61,-312.914359919,-309.632353562
62,-312.864959621,-309.629985989
63,-312.816378528,-309.628767351
64,-312.768598982,-309.628517257
65,-312.721603804,-309.629067774
66,-312.675376296,-309.630265326
67,-312.629900244,-309.631971965
68,-312.585159915,-309.634065969
69,-312.541140045,-309.636441781
70,-312.497825834,-309.639009353
71,-312.455202933,-309.641693033
72,-312.413257428,-309.6444301
73,-312.371975824,-309.647169113
74,-312.33134503,-309.649868182
75,-312.291352339,-309.652493264
76,-312.251985411,-309.655016566
77,-312.213232257,-309.657415092
78,-312.175081217,-309.659669395
79,-312.137520945,-309.66176253
80,-312.100540394,-309.663679258
81,-312.064128797,-309.665405474
82,-312.028275657,-309.666927881
83,-311.992970729,-309.668233885
84,-311.95820401,-309.66931168
85,-311.923965729,-309.670150506
86,-311.890246334,-309.670741004
87,-311.857036485,-309.671075649
88,-311.824327047,-309.671149197
89,-311.79210908,-309.670959105
90,-311.760373834,-309.670505897
91,-311.729112745,-309.669793437
92,-311.698317429,-309.66882911
93,-311.667979678,-309.667623878
94,-311.638091457,-309.666192228
95,-311.608644898,-309.66455201
96,-311.5796323,-309.662724162
97,-311.551046127,-309.660732343
98,-311.522879002,-309.658602482
99,-311.495123707,-309.656362256
100,-311.467773179,-309.654040522
101,-311.44082051,-309.651666718
102,-311.414258943,-309.649270253
103,-311.388081869,-309.646879912
104,-311.362282825,-309.644523294
105,-311.336855492,-309.64222629
106,-311.311793692,-309.64001264
107,-311.287091384,-309.637903556
108,-311.262742663,-309.63591743
109,-311.238741755,-309.63406963
110,-311.215083014,-309.632372387
111,-311.191760921,-309.630834768
112,-311.168770078,-309.629462721
113,-311.146105205,-309.62825921
114,-311.123761139,-309.6272244
115,-311.101732828,-309.626355904
116,-311.080015326,-309.625649069
117,-311.058603795,-309.625097293
118,-311.037493499,-309.624692356
119,-311.016679796,-309.624424757
120,-310.996158143,-309.624284041
121,-310.975924087,-309.624259109
122,-310.955973265,-309.624338499
123,-310.936301398,-309.624510637
124,-310.916904291,-309.624764042
125,-310.897777829,-309.625087498
126,-310.878917974,-309.62547018
127,-310.860320764,-309.625901741
128,-310.841982309,-309.626372364
129,-310.82389879,-309.626872783
130,-310.806066455,-309.627394279
131,-310.78848162,-309.627928652
132,-310.771140666,-309.628468194
133,-310.754040035,-309.62900564
134,-310.737176231,-309.629534133
135,-310.72054582,-309.630047192
136,-310.704145423,-309.630538683
137,-310.687971719,-309.631002814
138,-310.672021446,-309.63143414
139,-310.656291392,-309.631827581
140,-310.640778403,-309.632178459
141,-310.625479375,-309.632482546
142,-310.610391257,-309.63273612
143,-310.595511049,-309.632936027
144,-310.580835801,-309.633079748
145,-310.566362612,-309.63316546
146,-310.552088629,-309.633192089
147,-310.538011049,-309.633159356
148,-310.524127114,-309.633067807
149,-310.510434112,-309.632918825
150,-310.49692938,-309.632714624
151,-310.483610295,-309.632458221
152,-310.470474281,-309.63215339
153,-310.457518807,-309.631804597
154,-310.444741382,-309.631416912
155,-310.432139558,-309.630995912
156,-310.419710929,-309.63054757
157,-310.407453129,-309.630078131
158,-310.395363832,-309.629593989
159,-310.383440751,-309.629101559
160,-310.371681639,-309.628607155
161,-310.360084285,-309.62811687
162,-310.348646514,-309.627636475
163,-310.337366191,-309.627171318
164,-310.326241212,-309.626726253
165,-310.315269511,-309.626305572
166,-310.304449054,-309.62591296
167,-310.29377784,-309.625551473
168,-310.283253902,-309.625223525
169,-310.272875304,-309.624930893
170,-310.26264014,-309.624674738
171,-310.252546535,-309.62445564
172,-310.242592642,-309.624273637
173,-310.232776645,-309.624128278
174,-310.223096755,-309.624018677
175,-310.213551209,-309.62394357
176,-310.204138272,-309.623901372
177,-310.194856236,-309.623890234
178,-310.185703415,-309.623908095
179,-310.176678151,-309.623952729
180,-310.167778809,-309.624021784
181,-310.159003777,-309.624112822
182,-310.150351466,-309.624223346
183,-310.14182031,-309.624350823
184,-310.133408766,-309.624492704
185,-310.125115309,-309.624646437
186,-310.116938439,-309.624809482
187,-310.108876673,-309.624979315
188,-310.100928551,-309.625153444
189,-310.09309263,-309.625329409
190,-310.085367488,-309.625504801
191,-310.077751721,-309.625677267
192,-310.070243944,-309.625844528
193,-310.062842789,-309.626004397
194,-310.055546908,-309.626154792
195,-310.048354968,-309.626293763
196,-310.041265654,-309.626419513
197,-310.034277668,-309.626530419
198,-310.02738973,-309.62662506
199,-310.020600574,-309.626702234
200,-310.013908951,-309.626760981
201,-310.007313628,-309.626800601
202,-310.000813387,-309.626820665
203,-309.994407026,-309.626821024
204,-309.988093357,-309.626801813
205,-309.98187121,-309.626763448
206,-309.975739426,-309.626706619
207,-309.969696862,-309.626632276
208,-309.963742389,-309.626541607
209,-309.957874893,-309.626436019
210,-309.952093274,-309.626317104
211,-309.946396443,-309.626186612
212,-309.940783329,-309.626046413
213,-309.93525287,-309.625898464
214,-309.929804021,-309.625744769
215,-309.924435747,-309.625587347
216,-309.919147027,-309.625428195
217,-309.913936853,-309.625269256
218,-309.90880423,-309.62511239
219,-309.903748173,-309.624959348
220,-309.898767711,-309.62481175
221,-309.893861886,-309.624671066
222,-309.889029749,-309.624538604
223,-309.884270365,-309.624415503
224,-309.879582808,-309.62430272
225,-309.874966167,-309.624201038
226,-309.870419539,-309.624111058
227,-309.865942032,-309.624033211
228,-309.861532768,-309.623967761
229,-309.857190876,-309.623914814
230,-309.852915497,-309.623874327
231,-309.848705782,-309.623846119
232,-309.844560894,-309.623829884
233,-309.840480003,-309.623825199
234,-309.836462291,-309.623831534
235,-309.832506949,-309.623848268
236,-309.828613178,-309.623874695
237,-309.824780187,-309.623910034
238,-309.821007197,-309.623953438
239,-309.817293436,-309.624004006
240,-309.813638141,-309.624060789
241,-309.810040559,-309.624122799
242,-309.806499945,-309.624189021
243,-309.803015563,-309.624258416
244,-309.799586686,-309.624329937
245,-309.796212593,-309.624402535
246,-309.792892574,-309.624475169
247,-309.789625927,-309.624546818
248,-309.786411955,-309.624616493
249,-309.783249973,-309.624683243
250,-309.780139301,-309.624746171
251,-309.777079267,-309.624804443
252,-309.774069208,-309.624857298
253,-309.771108467,-309.624904057
254,-309.768196396,-309.624944133
255,-309.765332353,-309.624977037
256,-309.762515703,-309.625002388
257,-309.759745819,-309.62501991
258,-309.757022081,-309.625029444
259,-309.754343876,-309.625030942
260,-309.751710597,-309.625024469
261,-309.749121644,-309.625010199
